personId,ip,h,r,er,bb,k,hr,p,s,hbp,bat_faced,inh_run,inh_run_scored,gameId,outs
113393,1,1,2,1,2,1,0,15,7,0,7,0,0,139657,3
111842,6,5,3,2,4,2,0,42,26,0,26,0,0,131475,18
121100,3,3,2,2,5,4,0,41,21,0,18,0,0,131475,9
123509,8,4,3,3,6,4,0,60,34,2,34,0,0,139668,24
111842,1,0,0,0,1,2,0,12,8,0,5,0,0,139668,3
119729,3,7,4,4,3,1,0,30,18,0,19,0,0,131482,9
111701,1,3,1,1,0,0,0,5,5,0,5,0,0,131482,3
117909,2,2,0,0,0,1,0,10,10,0,8,0,0,131482,6
114299,2,3,2,2,1,2,1,17,13,0,10,0,0,131482,6
122910,8,5,3,3,0,2,1,32,32,0,28,0,0,139676,24
115160,1,1,0,0,0,0,0,3,3,0,3,0,0,139676,3
120935,9,6,0,0,4,6,0,58,42,0,34,0,0,131490,27
117514,2,2,4,3,4,1,0,25,9,0,11,0,0,139684,6
111842,7,9,2,2,0,5,1,37,37,0,27,3,3,139684,21
117350,6.2,6,3,2,3,2,0,42,30,0,29,0,0,139685,20
113393,5.1,1,0,0,1,4,0,29,25,0,18,1,0,139685,16
115160,3,4,0,0,3,3,0,31,19,0,16,0,0,139685,9
117909,9,2,1,1,3,6,0,53,41,0,32,0,0,131498,27
111842,3,1,4,4,8,1,0,43,11,0,17,0,0,131511,9
119514,1,0,0,0,3,0,0,14,2,0,5,2,1,131511,3
121683,1,0,0,0,0,0,0,3,3,0,3,0,0,131511,3
120687,2,1,1,1,2,1,0,16,8,0,8,0,0,131511,6
120105,1,0,0,0,0,0,0,3,3,0,3,0,0,131511,3
119377,5,7,5,5,1,3,0,32,28,0,23,0,0,131512,15
120105,1,0,0,0,0,0,0,3,3,0,3,0,0,131512,3
119514,2,5,3,3,1,2,0,19,15,0,12,0,0,131512,6
114299,9,13,4,4,2,5,1,53,45,0,37,0,0,139704,27
122086,5,8,4,4,1,1,0,28,24,0,23,0,0,131518,15
121100,0.2,0,3,3,3,0,0,14,2,0,5,2,2,131518,2
114089,3.1,2,0,0,2,2,0,24,16,0,14,3,3,131518,10
123509,9,5,0,0,2,7,0,54,45,1,34,0,0,139713,27
117514,8,2,4,1,6,1,0,52,28,0,32,0,0,139714,24
113393,1,0,0,0,0,0,0,3,3,0,3,0,0,139714,3
122910,8,7,2,2,3,7,0,55,43,0,32,0,0,139725,24
115160,1,0,0,0,1,1,0,9,5,0,4,0,0,139725,3
120935,9,6,4,4,5,2,1,56,36,0,37,0,0,131534,27
117909,9,4,0,0,4,3,0,52,35,1,34,0,0,131541,27
113393,7.1,6,3,3,2,0,1,35,27,0,29,0,0,139734,22
117350,0.2,3,0,0,0,0,0,5,5,0,5,3,2,139734,2
115160,1,0,0,0,0,0,0,3,3,0,3,2,0,139734,3
122086,9,4,0,0,5,5,0,62,41,1,37,0,0,131547,27
114299,9,6,2,2,4,7,1,62,46,0,36,0,0,139741,27
111842,5,6,4,4,6,5,0,54,30,0,26,0,0,139742,15
117350,1,1,0,0,0,0,0,3,3,0,3,2,1,139742,3
122060,2,1,1,1,0,2,1,11,11,0,7,0,0,139742,6
123509,1,0,0,0,1,1,0,9,5,0,4,0,0,139742,3
111842,2,2,2,2,4,3,0,30,14,0,12,0,0,131553,6
121100,4,6,6,6,6,2,0,45,21,0,23,0,0,131553,12
120687,1,4,5,4,1,1,0,13,9,0,8,0,0,131553,3
119377,1,1,0,0,0,1,0,6,6,0,4,2,2,131553,3
120935,7,9,4,3,2,4,0,45,37,0,31,0,0,131558,21
114089,1,1,0,0,1,0,0,7,3,0,4,0,0,131558,3
117514,9,8,7,7,6,3,1,66,42,0,42,0,0,139751,27
119377,9,8,4,3,4,4,0,59,43,0,39,0,0,131568,27
123509,9,4,0,0,2,5,0,48,40,0,32,0,0,139760,27
122910,8,6,3,3,2,5,1,46,38,0,30,0,0,139767,24
115160,1,0,0,0,0,1,0,5,5,0,3,2,1,139767,3
117909,9,5,0,0,0,1,0,33,33,0,31,0,0,131579,27
113393,3.1,7,5,5,2,2,1,28,20,0,18,0,0,139775,10
112287,5.2,3,1,1,4,6,0,49,33,0,25,1,0,139775,17
120935,7,6,3,3,1,4,1,40,36,0,29,0,0,131584,21
114089,2,3,0,0,0,1,0,11,11,0,9,0,0,131584,6
114299,6,6,4,4,2,4,1,37,29,0,23,0,0,139782,18
117350,2,0,0,0,0,0,0,6,6,0,6,0,0,139782,6
122086,2,4,4,4,3,0,0,21,9,0,12,0,0,131592,6
121683,2,0,0,0,0,0,0,6,6,0,6,0,0,131592,6
120105,5,4,0,0,2,0,0,26,18,0,20,0,0,131592,15
123509,8.2,7,3,2,3,6,0,58,46,0,37,0,0,139790,26
111842,0.1,0,0,0,1,0,0,5,1,0,2,3,1,139790,1
121100,9,5,3,3,4,3,0,54,37,1,36,0,0,131600,27
117909,9,8,1,0,4,3,0,53,37,0,35,0,0,131607,27
117350,7,5,2,2,2,3,0,40,32,0,28,0,0,139799,21
115160,2,1,0,0,0,0,0,7,7,0,7,0,0,139799,6
120935,5,7,4,3,3,3,1,40,28,0,25,0,0,131615,15
120105,4,4,2,2,0,3,0,22,22,0,16,2,1,131615,12
122910,8.2,7,2,2,6,5,1,63,39,0,35,0,0,139810,26
122060,0.1,0,0,0,0,0,0,1,1,0,1,1,0,139810,1
122086,4,6,4,2,3,1,0,32,20,0,21,0,0,131626,12
119377,5,5,2,2,5,3,0,45,25,0,24,0,0,131626,15
114299,1,3,3,3,2,0,0,14,6,0,8,0,0,139818,3
117514,7,3,3,2,4,4,1,48,32,0,28,2,2,139818,21
123509,7.1,8,3,3,3,7,1,53,41,0,30,0,0,139825,22
115160,1.2,1,0,0,0,2,0,10,10,0,6,1,1,139825,5
111842,4,5,5,4,5,3,0,42,22,0,21,0,0,131635,12
121683,3,1,1,1,4,1,0,28,12,0,14,0,0,131635,9
114089,1,4,4,4,0,0,3,7,7,0,7,0,0,131635,3
117350,6.1,7,3,1,1,5,0,39,35,0,26,0,0,139827,19
111842,2.2,0,0,0,3,3,0,28,15,1,13,1,0,139827,8
113393,2,3,1,1,1,0,0,11,7,0,8,0,0,139827,6
121100,10.2,12,6,6,8,2,2,77,45,0,49,0,0,131640,32
122060,9,9,2,2,2,2,1,44,36,0,34,0,0,139835,27
117909,9,6,2,2,5,5,0,62,42,0,37,0,0,131646,27
122910,9,5,0,0,5,8,0,66,46,0,35,0,0,139843,27
117514,7,7,2,1,0,6,0,41,41,0,29,0,0,139844,21
115160,2,3,0,0,1,0,0,12,8,0,9,2,1,139844,6
120935,9,8,4,4,3,3,0,54,42,0,39,0,0,131663,27
123509,8,2,1,1,1,5,0,40,36,0,27,0,0,139864,24
121100,4,7,4,4,5,1,0,40,20,0,23,0,0,131675,12
121683,2,2,0,0,1,0,0,12,8,0,9,0,0,131675,6
119377,2,4,1,1,1,1,0,15,11,0,10,0,0,131675,6
122086,1,2,2,2,2,0,1,11,3,0,5,0,0,131676,3
120105,0.1,4,5,5,1,1,0,11,7,0,6,0,0,131676,1
121683,3.2,3,1,1,2,1,1,22,14,0,14,1,1,131676,11
119377,3,2,1,1,2,2,0,24,16,0,14,0,0,131676,9
117350,0.1,3,3,3,0,0,0,6,4,2,6,0,0,139872,1
113393,3.2,2,2,2,1,3,0,22,18,0,13,2,0,139872,11
112287,4,2,1,0,1,3,0,25,21,0,16,0,0,139872,12
117909,9,6,4,4,2,4,2,49,41,0,35,0,0,131682,27
117514,4.2,5,4,4,2,5,1,36,28,0,20,0,0,139880,14
113393,0.1,0,0,0,0,0,0,1,1,0,1,1,0,139880,1
117350,4,0,0,0,1,1,0,17,13,0,12,0,0,139880,12
120935,8,6,2,1,2,10,0,58,50,0,32,0,0,131693,24
119377,1,1,1,1,0,1,1,6,6,0,4,0,0,131693,3
122060,5.1,6,4,2,0,2,1,24,24,0,20,0,0,139887,16
111842,0.2,2,0,0,0,1,0,6,6,0,4,1,1,139887,2
112287,2,0,0,0,1,0,0,10,6,0,7,0,0,139887,6
115160,1.1,2,1,1,2,1,0,16,8,0,8,0,0,139887,4
121100,9,9,0,0,4,6,0,64,48,0,40,0,0,131700,27
122910,8,12,4,4,3,9,1,65,53,0,38,0,0,139895,24
113393,1,0,0,0,0,2,0,7,7,0,3,2,0,139895,3
122086,8,8,7,5,3,4,2,54,42,0,37,0,0,131707,24
120105,1,1,0,0,0,1,0,6,6,0,4,0,0,131707,3
123509,3,3,5,5,3,2,1,28,16,0,15,0,0,139905,9
112287,5,5,2,2,2,3,1,30,22,0,18,0,0,139905,15
111842,0.1,1,3,3,2,0,1,11,2,1,5,0,0,139912,1
117350,7.2,6,2,2,2,2,0,40,32,0,30,1,0,139912,23
113393,2.2,4,3,3,1,2,0,20,16,0,13,0,0,139918,8
114299,2.2,1,2,2,3,1,0,22,10,0,11,1,0,139918,8
115160,2.1,4,1,1,3,1,0,26,14,0,15,3,2,139918,7
123509,1.1,0,0,0,0,2,0,8,8,0,4,3,0,139918,4
117909,9,8,3,2,0,3,0,41,41,0,35,0,0,131729,27
120935,9,5,0,0,2,6,0,51,43,0,33,0,0,131733,27
117514,5,6,2,2,4,3,0,42,26,0,24,0,0,139926,15
123509,4,4,2,2,4,5,1,42,26,0,20,2,0,139926,12
121100,9,4,1,0,1,4,0,43,39,0,32,0,0,131739,27
122910,6,4,1,1,3,4,0,39,27,0,22,0,0,139931,18
114299,5,1,0,0,1,4,0,28,24,0,17,0,0,139931,15
122060,4.2,6,4,4,0,1,0,21,21,0,19,0,0,139939,14
112287,4.1,3,0,0,0,2,0,19,19,0,15,1,0,139939,13
120105,9,10,1,1,1,2,0,42,38,0,35,0,0,131748,27
117909,7.2,9,5,5,5,3,0,59,39,0,38,0,0,131753,23
121100,1.1,0,0,0,0,0,0,4,4,0,4,3,0,131753,4
113393,3,6,4,4,1,2,1,23,18,1,16,0,0,139947,9
114299,4,2,0,0,2,8,0,39,31,0,17,0,0,139947,12
111842,1,2,0,0,0,1,0,7,7,0,5,0,0,139947,3
115160,1,3,2,2,1,1,0,11,7,0,6,0,0,139947,3
120935,9,9,5,3,6,3,0,66,42,0,42,0,0,131761,27
123509,9,7,2,2,6,10,0,76,52,0,38,0,0,139956,27
122086,9,7,0,0,6,2,0,61,37,0,39,0,0,131769,27
121683,6.1,5,5,5,7,6,1,63,35,0,30,0,0,131770,19
119377,0.2,1,0,0,0,0,0,4,3,1,4,3,2,131770,2
120105,2,4,2,2,0,0,0,10,10,0,10,0,0,131770,6
117514,2.1,4,4,4,3,0,0,22,10,0,13,0,0,139963,7
122060,0,1,0,0,0,0,0,1,1,0,1,3,1,139963,0
113393,2.2,2,1,1,0,0,0,9,9,0,9,3,0,139963,8
114299,3.2,5,2,2,1,2,0,22,18,0,15,0,0,139963,11
115160,1.2,3,1,1,1,1,0,13,9,0,8,3,2,139963,5
117350,0,3,4,4,2,0,0,12,4,0,6,0,0,139964,0
112287,8,7,2,2,2,5,0,46,38,0,30,2,0,139964,24
121100,7,6,3,3,2,6,1,47,39,0,29,0,0,131778,21
114089,1,0,0,0,0,0,0,3,3,0,3,0,0,131778,3
122910,8,6,0,0,1,3,0,40,36,0,31,0,0,139975,24
118140,1,1,0,0,0,0,0,4,4,0,4,1,0,139975,3
122060,8.1,8,4,2,0,0,1,33,33,0,33,0,0,139979,25
113393,0,1,1,1,0,0,0,1,1,0,1,1,0,139979,0
114299,0.2,1,0,0,1,2,0,11,7,0,4,2,2,139979,2
111842,2,2,2,2,0,1,1,10,10,0,8,0,0,139979,6
